Code,Single,Level1,Level2
A000,135,9,9.1
A001,135,9,9.1
A009,135,9,9.1
A0100,135,9,9.1
A0101,76,6,6.1
A0102,3,1,1.1
A0103,122,8,8.1
A0104,201,13,13.1
A0105,201,13,13.1
A0109,135,9,9.1
A011,135,9,9.1
A012,135,9,9.1
A013,135,9,9.1
A014,135,9,9.1
A020,135,9,9.1
A021,2,1,1.1
A0220,135,9,9.1
A0221,76,6,6.1
A0222,122,8,8.1
A0223,201,13,13.1
A0224,201,13,13.1
A0225,135,9,9.1
A0229,135,9,9.1
A028,135,9,9.1
A029,135,9,9.1
A030,135,9,9.1
A031,135,9,9.1
A032,135,9,9.1
A033,135,9,9.1
A038,135,9,9.1
A039,135,9,9.1
A040,135,9,9.1
A041,135,9,9.1
A042,135,9,9.1
A043,135,9,9.1
A044,135,9,9.1
A045,135,9,9.1
A046,135,9,9.1
A047,135,9,9.1
A0471,135,9,9.1
A0472,135,9,9.1
A048,135,9,9.1
A049,135,9,9.1
A050,135,9,9.1
A051,135,9,9.1
A052,135,9,9.1
A053,135,9,9.1
A054,135,9,9.1
A055,135,9,9.1
A058,135,9,9.1
A059,135,9,9.1
A060,135,9,9.1
A061,135,9,9.1
A062,135,9,9.1
A063,135,9,9.1
A064,135,9,9.1
A065,135,9,9.1
A066,135,9,9.1
A067,135,9,9.1
A0681,135,9,9.1
A0682,135,9,9.1
A0689,135,9,9.1
A069,135,9,9.1
A070,135,9,9.1
A071,135,9,9.1
A072,135,9,9.1
A073,135,9,9.1
A074,135,9,9.1
A078,135,9,9.1
A079,135,9,9.1
A080,135,9,9.1
A0811,135,9,9.1
A0819,135,9,9.1
A082,135,9,9.1
A0831,135,9,9.1
A0832,135,9,9.1
A0839,135,9,9.1
A084,135,9,9.1
A088,135,9,9.1
A09,135,9,9.1
A150,1,1,1.1
A154,1,1,1.1
A155,1,1,1.1
A156,1,1,1.1
A157,1,1,1.1
A158,1,1,1.1
A159,1,1,1.1
A170,1,1,1.1
A171,1,1,1.1
A1781,1,1,1.1
A1782,1,1,1.1
A1783,1,1,1.1
A1789,1,1,1.1
A179,1,1,1.1
A1801,1,1,1.1
A1802,1,1,1.1
A1803,1,1,1.1
A1809,1,1,1.1
A1810,1,1,1.1
A1811,1,1,1.1
A1812,1,1,1.1
A1813,1,1,1.1
A1814,1,1,1.1
A1815,1,1,1.1
A1816,1,1,1.1
A1817,1,1,1.1
A1818,1,1,1.1
A182,1,1,1.1
A1831,1,1,1.1
A1832,1,1,1.1
A1839,1,1,1.1
A184,1,1,1.1
A1850,1,1,1.1
A1851,1,1,1.1
A1852,1,1,1.1
A1853,1,1,1.1
A1854,1,1,1.1
A1859,1,1,1.1
