Code,Single,Level1,Level2,Level3,Level4
0010,135,9,9.1, ,
0011,135,9,9.1, , 
0019,135,9,9.1, , 
0020,135,9,9.1, , 
0021,135,9,9.1, , 
0022,135,9,9.1, , 
0023,135,9,9.1, , 
0029,135,9,9.1, , 
0030,135,9,9.1, , 
0031,2,1,1.1,1.1.2,1.1.2.5
00320,135,9,9.1, , 
00321,76,6,6.1,6.1.1, 
00322,122,8,8.1,8.1.1,8.1.1.2
00323,201,13,13.1, , 
00324,201,13,13.1, , 
00329,135,9,9.1, , 
0038,135,9,9.1, , 
0039,135,9,9.1, , 
0040,135,9,9.1, , 
0041,135,9,9.1, , 
0042,135,9,9.1, , 
0043,135,9,9.1, , 
0048,135,9,9.1, , 
0049,135,9,9.1, , 
0050,135,9,9.1, , 
0051,135,9,9.1, , 
0052,135,9,9.1, , 
0053,135,9,9.1, , 
0054,135,9,9.1, , 
0058,135,9,9.1, , 
00581,135,9,9.1, , 
00589,135,9,9.1, , 
0059,135,9,9.1, , 
0060,135,9,9.1, , 
0061,135,9,9.1, , 
0062,135,9,9.1, , 
0063,135,9,9.1, , 
0064,135,9,9.1, , 
0065,135,9,9.1, , 
0066,135,9,9.1, , 
0068,135,9,9.1, , 
0069,135,9,9.1, , 
0070,135,9,9.1, , 
0071,135,9,9.1, , 
0072,135,9,9.1, , 
0073,135,9,9.1, , 
0074,135,9,9.1, , 
0075,135,9,9.1, , 
0078,135,9,9.1, , 
0079,135,9,9.1, , 
0080,135,9,9.1, , 
00800,135,9,9.1, , 
00801,135,9,9.1, , 
00802,135,9,9.1, , 
00803,135,9,9.1, , 
00804,135,9,9.1, , 
00809,135,9,9.1, , 
0081,135,9,9.1, , 
0082,135,9,9.1, , 
0083,135,9,9.1, , 
00841,135,9,9.1, , 
00842,135,9,9.1, , 
00843,135,9,9.1, , 
00844,135,9,9.1, , 
00845,135,9,9.1, , 
00846,135,9,9.1, , 
00847,135,9,9.1, , 
00849,135,9,9.1, , 
0085,135,9,9.1, , 
0086,135,9,9.1, , 
00861,135,9,9.1, , 
00862,135,9,9.1, , 
00863,135,9,9.1, , 
00864,135,9,9.1, , 
00865,135,9,9.1, , 
00866,135,9,9.1, , 
00867,135,9,9.1, , 
00869,135,9,9.1, , 
0088,135,9,9.1, , 
0090,135,9,9.1, , 
0091,135,9,9.1, , 
0092,135,9,9.1, , 
0093,135,9,9.1, , 
01000,1,1,1.1,1.1.1, 
01001,1,1,1.1,1.1.1, 
01002,1,1,1.1,1.1.1, 
01003,1,1,1.1,1.1.1, 
01004,1,1,1.1,1.1.1, 
01005,1,1,1.1,1.1.1, 
01006,1,1,1.1,1.1.1, 
01010,1,1,1.1,1.1.1, 
01011,1,1,1.1,1.1.1, 
01012,1,1,1.1,1.1.1, 
01013,1,1,1.1,1.1.1, 
01014,1,1,1.1,1.1.1, 
01015,1,1,1.1,1.1.1, 
01016,1,1,1.1,1.1.1, 
01080,1,1,1.1,1.1.1, 
01081,1,1,1.1,1.1.1, 
01082,1,1,1.1,1.1.1, 
01083,1,1,1.1,1.1.1, 
01084,1,1,1.1,1.1.1, 
01085,1,1,1.1,1.1.1, 
01086,1,1,1.1,1.1.1, 
01090,1,1,1.1,1.1.1, 
01091,1,1,1.1,1.1.1, 
01092,1,1,1.1,1.1.1, 
01093,1,1,1.1,1.1.1, 
01094,1,1,1.1,1.1.1, 
01095,1,1,1.1,1.1.1, 
01096,1,1,1.1,1.1.1, 
01100,1,1,1.1,1.1.1, 
01101,1,1,1.1,1.1.1, 
01102,1,1,1.1,1.1.1, 
01103,1,1,1.1,1.1.1, 
01104,1,1,1.1,1.1.1, 
01105,1,1,1.1,1.1.1, 
01106,1,1,1.1,1.1.1, 
01110,1,1,1.1,1.1.1, 
01111,1,1,1.1,1.1.1, 
01112,1,1,1.1,1.1.1, 
01113,1,1,1.1,1.1.1, 
01114,1,1,1.1,1.1.1, 
01115,1,1,1.1,1.1.1, 
01116,1,1,1.1,1.1.1, 
01120,1,1,1.1,1.1.1, 
01121,1,1,1.1,1.1.1, 
01122,1,1,1.1,1.1.1, 
01123,1,1,1.1,1.1.1, 
01124,1,1,1.1,1.1.1, 
01125,1,1,1.1,1.1.1, 
01126,1,1,1.1,1.1.1, 
01130,1,1,1.1,1.1.1, 
01131,1,1,1.1,1.1.1, 
01132,1,1,1.1,1.1.1, 
01133,1,1,1.1,1.1.1, 
01134,1,1,1.1,1.1.1, 
01135,1,1,1.1,1.1.1, 
01136,1,1,1.1,1.1.1, 
01140,1,1,1.1,1.1.1, 
01141,1,1,1.1,1.1.1, 
01142,1,1,1.1,1.1.1, 
01143,1,1,1.1,1.1.1, 
01144,1,1,1.1,1.1.1, 
01145,1,1,1.1,1.1.1, 
01146,1,1,1.1,1.1.1, 
01150,1,1,1.1,1.1.1, 
