Classification,Code,Type,Description
,29384,,Anxiety disorder in conditions classified elsewhere
,30000,,"Anxiety state, unspecified"
,30001,,Panic disorder without agoraphobia
,30002,,Generalized anxiety disorder
,30009,,Other anxiety states
,30924,,Adjustment disorder with anxiety
,79921,,Nervousness
,F064,,Anxiety disorder due to known physiological condition
,F410,,Panic disorder [episodic paroxysmal anxiety]
,F411,,Generalized anxiety disorder
,F413,,Other mixed anxiety disorders
,F418,,Other specified anxiety disorders
,F419,,"Anxiety disorder, unspecified"
,F432,,Adjustment disorders
,F4322,,Adjustment disorder with anxiety
,R450,,Nervousness
