Code,Type,Classification,Description
3102,ICD9,Mild,Postconcussion Syndrome
8000,ICD9,,closed fracture of vault of skull w/o mention of intracranial injury
80000,ICD9,,closed fracture of vault of skull w/o mention of intracranial injury w/state of consciousness unspecified
80001,ICD9,,closed fracture of vault of skull w/o mention of intracranial injuryy w/o LOC
80002,ICD9,Mild,closed fracture of vault of skull w/o mention of intracranial injury w/brief (< 1 hr) LOC
80003,ICD9,mod_sev,closed fracture of vault of skull w/o mention of intracranial injury w/moderate (1-24 hrs) LOC
80004,ICD9,mod_sev,closed fracture of vault of skull w/o mention of intracranial injury w/prolonged (> 24 hrs) LOC and return to pre-existing conscious level
80005,ICD9,mod_sev,closed fracture of vault of skull w/o mention of intracranial injury w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80006,ICD9,Mild,closed fracture of vault of skull w/o mention of intracranial injury w/LOC of unspecified duration
80009,ICD9,Mild,closed fracture of vault of skull w/o mention of intracranial injury w/concussion unspecified
8001,ICD9,,closed fracture of vault of skull with cerebral laceration and contusion
80010,ICD9,mod_sev,closed fracture of vault of skull with cerebral laceration and contusion w/state of consciousness unspecified
80011,ICD9,mod_sev,closed fracture of vault of skull with cerebral laceration and contusion w/o LOC
80012,ICD9,mod_sev,closed fracture of vault of skull with cerebral laceration and contusion w/brief (<1 hr) LOC
80013,ICD9,mod_sev,closed fracture of vault of skull with cerebral laceration and contusion w/moderate (1-24 hrs) LOC
80014,ICD9,mod_sev,closed fracture of vault of skull with cerebral laceration and contusion w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80015,ICD9,mod_sev,closed fracture of vault of skull with cerebral laceration and contusion w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80016,ICD9,mod_sev,closed fracture of vault of skull with cerebral laceration and contusion w/LOC of unspecified duration
80019,ICD9,mod_sev,closed fracture of vault of skull with cerebral laceration and contusion w/concussion unspecified
8002,ICD9,,closed fracture of vault of skull with subarachnoid subdural and extradural hemorrhage
80020,ICD9,mod_sev,closed fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/state of consciousness unspecified
80021,ICD9,mod_sev,closed fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/o LOC
80022,ICD9,mod_sev,closed fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/brief (<1 hr) LOC
80023,ICD9,mod_sev,closed fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/moderate (1-24 hrs) LOC
80024,ICD9,mod_sev,closed fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80025,ICD9,mod_sev,closed fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80026,ICD9,mod_sev,closed fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/LOC of unspecified duration
80029,ICD9,mod_sev,closed fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/concussion unspecified
8003,ICD9,,closed fracture of vault of skull with other and unspecified intracranial hemorrhage
80030,ICD9,mod_sev,closed fracture of vault of skull with other and unspecified intracranial hemorrhage w/state of consciousness unspecified
80031,ICD9,mod_sev,closed fracture of vault of skull with other and unspecified intracranial hemorrhage w/o LOC
80032,ICD9,mod_sev,closed fracture of vault of skull with other and unspecified intracranial hemorrhagee w/brief (<1 hr) LOC
80033,ICD9,mod_sev,closed fracture of vault of skull with other and unspecified intracranial hemorrhage w/moderate (1-24 hrs) LOC
80034,ICD9,mod_sev,closed fracture of vault of skull with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80035,ICD9,mod_sev,closed fracture of vault of skull with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80036,ICD9,mod_sev,closed fracture of vault of skull with other and unspecified intracranial hemorrhage w/LOC of unspecified duration
80039,ICD9,mod_sev,closed fracture of vault of skull with other and unspecified intracranial hemorrhage w/concussion unspecified
8004,ICD9,,closed fracture of vault of skull with intracranial injury of other and unspecified nature
80040,ICD9,Mild,closed fracture of vault of skull with intracranial injury of other and unspecified nature w/state of consciousness unspecified
80041,ICD9,Mild,closed fracture of vault of skull with intracranial injury of other and unspecified nature w/o LOC
80042,ICD9,Mild,closed fracture of vault of skull with intracranial injury of other and unspecified nature w/brief (<1 hr) LOC
80043,ICD9,mod_sev,closed fracture of vault of skull with intracranial injury of other and unspecified nature w/moderate (1-24 hrs) LOC
80044,ICD9,mod_sev,closed fracture of vault of skull with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80045,ICD9,mod_sev,closed fracture of vault of skull with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80046,ICD9,Mild,closed fracture of vault of skull with intracranial injury of other and unspecified nature w/LOC of unspecified duration
80046,ICD9,Mild,closed fracture of vault of skull with intracranial injury of other and unspecified nature w/LOC of unspecified duration
80049,ICD9,Mild,closed fracture of vault of skull with intracranial injury of other and unspecified nature w/concussion unspecified
8005,ICD9,,open fracture of vault of skull w/o mention of intracranial injury
80050,ICD9,,open fracture of vault of skull w/o mention of intracranial injury w/state of consciousness unspecified
80051,ICD9,,open fracture of vault of skull w/o mention of intracranial injury w/o LOC
80052,ICD9,Mild,open fracture of vault of skull w/o mention of intracranial injury w/brief (<1 hr) LOC
80053,ICD9,mod_sev,open fracture of vault of skull w/o mention of intracranial injury w/moderate (1-24 hrs) LOC
80054,ICD9,mod_sev,open fracture of vault of skull w/o mention of intracranial injury w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80055,ICD9,mod_sev,open fracture of vault of skull w/o mention of intracranial injury w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80056,ICD9,Mild,open fracture of vault of skull w/o mention of intracranial injury w/LOC of unspecified duration
80059,ICD9,Mild,open fracture of vault of skull w/o mention of intracranial injury w/concussion unspecified
8006,ICD9,,open fracture of vault of skull with cerebral laceration and contusion
80060,ICD9,mod_sev,open fracture of vault of skull with cerebral laceration and contusion w/state of consciousness unspecified
80061,ICD9,mod_sev,open fracture of vault of skull with cerebral laceration and contusion w/o LOC
80062,ICD9,mod_sev,open fracture of vault of skull with cerebral laceration and contusion w/brief (<1 hr) LOC
80063,ICD9,mod_sev,open fracture of vault of skull with cerebral laceration and contusion w/moderate (1-24 hrs) LOC
80064,ICD9,mod_sev,open fracture of vault of skull with cerebral laceration and contusion w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80065,ICD9,mod_sev,open fracture of vault of skull with cerebral laceration and contusion w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80066,ICD9,mod_sev,open fracture of vault of skull with cerebral laceration and contusion w/LOC of unspecified duration
80069,ICD9,mod_sev,open fracture of vault of skull with cerebral laceration and contusion w/concussion unspecified
8007,ICD9,,open fracture of vault of skull with subarachnoid subdural and extradural hemorrhage
80070,ICD9,mod_sev,open fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/state of consciousness unspecified
80071,ICD9,mod_sev,open fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/o LOC
