Classification,Code,Type,Description
,36060,,"Foreign body, intraocular, unspecified"
,36100,,"Retinal detachment with retinal defect, unspecified"
,36110,,"Retinoschisis, unspecified"
,36130,,"Retinal defect, unspecified"
,36131,,Round hole of retina without detachment
,36132,,Horseshoe tear of retina without detachment
,3619,,Unspecified retinal detachment
,36211,,Hypertensive retinopathy
,36213,,Changes in vascular appearance of retina
,36216,,Retinal neovascularization NOS
,36217,,Other intraretinal microvascular abnormalities
,36241,,Central serous retinopathy
,36242,,Serous detachment of retinal pigment epithelium
,36250,,"Macular degeneration (senile), unspecified"
,36251,,Nonexudative senile macular degeneration
,36253,,Cystoid macular degeneration
,36254,,"Macular cyst, hole, or pseudohole"
,36256,,Macular puckering
,36257,,Drusen (degenerative)
,36260,,"Peripheral retinal degeneration, unspecified"
,36263,,Lattice degeneration
,36281,,Retinal hemorrhage
,36282,,Retinal exudates and deposits
,36285,,Retinal nerve fiber bundle defects
,36289,,Other retinal disorders
,3629,,Unspecified retinal disorder
,36320,,"Chorioretinitis, unspecified"
,36330,,"Chorioretinal scar, unspecified"
,36332,,Other macular scars
,36334,,Peripheral scars
,36400,,"Acute and subacute iridocyclitis, unspecified"
,36410,,"Chronic iridocyclitis, unspecified"
,36441,,Hyphema of iris and ciliary body
,36451,,Essential or progressive iris atrophy
,36453,,Pigmentary iris degeneration
,36475,,Pupillary abnormalities
,36476,,Iridodialysis
,36500,,"Preglaucoma, unspecified"
,36501,,"Open angle with borderline findings, low risk"
,36504,,Ocular hypertension
,36505,,"Open angle with borderline findings, high risk"
,36531,,"Corticosteroid-induced glaucoma, glaucomatous stage"
,3659,,Unspecified glaucoma
,36602,,Posterior subcapsular polar cataract
,36604,,Nuclear cataract
,36612,,Incipient senile cataract
,36616,,Senile nuclear sclerosis
,36620,,"Traumatic cataract, unspecified"
,3669,,Unspecified cataract
,3670,,Hypermetropia
,3671,,Myopia
,36720,,"Astigmatism, unspecified"
,36721,,Regular astigmatism
,36722,,Irregular astigmatism
,36731,,Anisometropia
,3674,,Presbyopia
,36751,,Paresis of accommodation
,36753,,Spasm of accommodation
,36789,,Other disorders of refraction and accommodation
,3679,,Unspecified disorder of refraction and accommodation
,36801,,Strabismic amblyopia
,36803,,Refractive amblyopia
,36810,,"Subjective visual disturbance, unspecified"
,36811,,Sudden visual loss
,36812,,Transient visual loss
,36814,,Visual distortions of shape and size
,36815,,Other visual distortions and entoptic phenomena
,36816,,Psychophysical visual disturbances
,3682,,Diplopia
,36830,,"Binocular vision disorder, unspecified"
,36831,,Suppression of binocular vision
,36833,,Fusion with defective stereopsis
,36840,,"Visual field defect, unspecified"
,36842,,Scotoma of blind spot area
,36843,,Sector or arcuate visual field defects
,36844,,Other localized visual field defect
,36845,,Generalized visual field contraction or constriction
,36846,,Homonymous bilateral field defects
,36847,,Heteronymous bilateral field defects
,36859,,Other color vision deficiencies
,3688,,Other specified visual disturbances
,3689,,Unspecified visual disturbance
,36900,,"Profound impairment, both eyes, impairment level not further specified"
,3693,,"Unqualified visual loss, both eyes"
,36962,,One eye: total vision impairment; other eye: near-normal vision
,36976,,One eye: moderate vision impairment; other eye: normal vision
,3698,,"Unqualified visual loss, one eye"
,3699,,Unspecified visual loss
,37000,,"Corneal ulcer, unspecified"
,37003,,Central corneal ulcer
,37020,,"Superficial keratitis, unspecified"
,37021,,Punctate keratitis
,37034,,Exposure keratoconjunctivitis
,37060,,"Corneal neovascularization, unspecified"
,3709,,Unspecified keratitis
,37100,,"Corneal opacity, unspecified"
,37102,,Peripheral opacity of cornea
,37120,,"Corneal edema, unspecified"
,37141,,Senile corneal changes
,37142,,Recurrent erosion of cornea
,37157,,Endothelial corneal dystrophy
,37160,,"Keratoconus, unspecified"
,37189,,Other corneal disorders
,37200,,"Acute conjunctivitis, unspecified"
,37203,,Other mucopurulent conjunctivitis
,37205,,Acute atopic conjunctivitis
,37206,,Acute chemical conjunctivitis
,37210,,"Chronic conjunctivitis, unspecified"
,37214,,Other chronic allergic conjunctivitis
,37230,,"Conjunctivitis, unspecified"
,37240,,"Pterygium, unspecified"
,37251,,Pinguecula
,37262,,Localized adhesions and strands of conjunctiva
,37272,,Conjunctival hemorrhage
,37273,,Conjunctival edema
,3729,,Unspecified disorder of conjunctiva
,37300,,"Blepharitis, unspecified"
,37311,,Hordeolum externum
,37312,,Hordeolum internum
,3732,,Chalazion
,37332,,Contact and allergic dermatitis of eyelid
,3739,,Unspecified inflammation of eyelid
,37410,,"Ectropion, unspecified"
,37420,,"Lagophthalmos, unspecified"
,37430,,"Ptosis of eyelid, unspecified"
,37433,,Mechanical ptosis
,37441,,Lid retraction or lag
,37484,,Cysts of eyelids
,37486,,Retained foreign body of eyelid
,37487,,Dermatochalasis
,37515,,"Tear film insufficiency, unspecified"
,37520,,"Epiphora, unspecified as to cause"
,37522,,Epiphora due to insufficient drainage
,3766,,Retained (old) foreign body following penetrating wound of orbit
,37689,,Other orbital disorders
,37710,,"Optic atrophy, unspecified"
,37714,,Glaucomatous atrophy [cupping] of optic disc
,37715,,Partial optic atrophy
,37721,,Drusen of optic disc
,37730,,"Optic neuritis, unspecified"
,37741,,Ischemic optic neuropathy
